Simulation no#,Line ,Load,Wind1,Wind2,Wind3,flag,Sequence
66,Line 09 - 39,0.7,0,0,0.2,0,[]
,,,,,,,
67,Line 05 - 08,0.7,0,0,0.2,0,[]
,,,,,,,
68,Line 05 - 06,0.7,0,0,0.2,0,[]
,,,,,,,
69,Line 04 - 05,0.7,0,0,0.4,3,Error
,,,,,,,
70,Line 06 - 07,0.7,0,0,0.4,0,[]
,,,,,,,
71,Line 06 - 11,0.7,0,0,0.4,0,[]
,,,,,,,
72,Line 10 - 11,0.7,0,0,0.4,0,[]
,,,,,,,
73,Line 10 - 13,0.7,0,0,0.4,0,[]
,,,,,,,
74,Line 13 - 14,0.7,0,0,0.4,0,[]
,,,,,,,
75,Line 16 - 19,0.7,0,0,0.4,1,"[('G 05', 'Over-Speed', '1.73'), ('Load 29A_UF', '9.79'), ('Load 28A_UF', '9.79'), ('Load 25A_UF', '9.80'), ('Load 26A_UF', '9.80'), ('Load 08A_UF', '9.93'), ('Load 12A_UF', '9.93'), ('Load 07A_UF', '9.93'), ('Load 04A_UF', '9.95'), ('Load 23A_UF', '9.95')]"
,,,,,,,
76,Line 16 - 21,0.7,0,0,0.4,0,[]
,,,,,,,
77,Line 16 - 24,0.7,0,0,0.4,0,[]
,,,,,,,
78,Line 26 - 28,0.7,0,0,0.4,0,[]
,,,,,,,
79,Line 26 - 29,0.7,0,0,0.4,0,[]
,,,,,,,
80,Line 28 - 29,0.7,0,0,0.4,0,[]
,,,,,,,
81,Line 23 - 24,0.7,0,0,0.4,0,[]
,,,,,,,
82,Line 22 - 23,0.7,0,0,0.4,0,[]
,,,,,,,
83,Line 21 - 22,0.7,0,0,0.4,0,[]
,,,,,,,
84,Line 03 - 18,0.7,0,0,0.4,0,[]
,,,,,,,
85,Line 08 - 09,0.7,0,0,0.4,0,[]
,,,,,,,
86,Line 07 - 08,0.7,0,0,0.4,0,[]
,,,,,,,
87,Line 02 - 25,0.7,0,0,0.4,0,[]
,,,,,,,
88,Line 01 - 02,0.7,0,0,0.4,0,[]
,,,,,,,
89,Line 25 - 26,0.7,0,0,0.4,0,[]
,,,,,,,
90,Line 17 - 18,0.7,0,0,0.4,0,[]
,,,,,,,
91,Line 26 - 27,0.7,0,0,0.4,0,[]
,,,,,,,
92,Line 17 - 27,0.7,0,0,0.4,0,[]
,,,,,,,
93,Line 16 - 17,0.7,0,0,0.4,0,[]
,,,,,,,
94,Line 15 - 16,0.7,0,0,0.4,0,[]
,,,,,,,
95,Line 14 - 15,0.7,0,0,0.4,0,[]
,,,,,,,
96,Line 04 - 14,0.7,0,0,0.4,0,[]
,,,,,,,
97,Line 03 - 04,0.7,0,0,0.4,0,[]
,,,,,,,
98,Line 02 - 03,0.7,0,0,0.4,0,[]
,,,,,,,
99,Line 01 - 39,0.7,0,0,0.4,0,[]
,,,,,,,
100,Line 09 - 39,0.7,0,0,0.4,0,[]
,,,,,,,
101,Line 05 - 08,0.7,0,0,0.4,0,[]
,,,,,,,
102,Line 05 - 06,0.7,0,0,0.4,0,[]
,,,,,,,
103,Line 04 - 05,0.7,0,0,0.6,0,[]
,,,,,,,
104,Line 06 - 07,0.7,0,0,0.6,0,[]
,,,,,,,
105,Line 06 - 11,0.7,0,0,0.6,0,[]
,,,,,,,
106,Line 10 - 11,0.7,0,0,0.6,0,[]
,,,,,,,
107,Line 10 - 13,0.7,0,0,0.6,0,[]
,,,,,,,
108,Line 13 - 14,0.7,0,0,0.6,0,[]
,,,,,,,
109,Line 16 - 19,0.7,0,0,0.6,1,"[('G 05', 'Over-Speed', '1.64'), ('Load 23A_UF', '13.88'), ('Load 21A_UF', '13.89'), ('Load 24A_UF', '13.89'), ('Load 16A_UF', '13.89'), ('Load 15A_UF', '13.89'), ('Load 12A_UF', '13.89'), ('Load 07A_UF', '13.90'), ('Load 08A_UF', '13.90'), ('Load 04A_UF', '13.90'), ('Load 18A_UF', '13.90'), ('Load 27A_UF', '13.90'), ('Load 29A_UF', '13.90'), ('Load 28A_UF', '13.90'), ('Load 26A_UF', '13.90'), ('Load 03A_UF', '13.90')]"
,,,,,,,
110,Line 16 - 21,0.7,0,0,0.6,0,[]
,,,,,,,
111,Line 16 - 24,0.7,0,0,0.6,0,[]
,,,,,,,
112,Line 26 - 28,0.7,0,0,0.6,0,[]
,,,,,,,
113,Line 26 - 29,0.7,0,0,0.6,0,[]
,,,,,,,
114,Line 28 - 29,0.7,0,0,0.6,0,[]
,,,,,,,
115,Line 23 - 24,0.7,0,0,0.6,0,[]
,,,,,,,
116,Line 22 - 23,0.7,0,0,0.6,0,[]
,,,,,,,
117,Line 21 - 22,0.7,0,0,0.6,0,[]
,,,,,,,
118,Line 03 - 18,0.7,0,0,0.6,0,[]
,,,,,,,
119,Line 08 - 09,0.7,0,0,0.6,0,[]
,,,,,,,
120,Line 07 - 08,0.7,0,0,0.6,0,[]
,,,,,,,
121,Line 02 - 25,0.7,0,0,0.6,0,[]
,,,,,,,
122,Line 01 - 02,0.7,0,0,0.6,0,[]
,,,,,,,
123,Line 25 - 26,0.7,0,0,0.6,0,[]
,,,,,,,
124,Line 17 - 18,0.7,0,0,0.6,0,[]
,,,,,,,
125,Line 26 - 27,0.7,0,0,0.6,0,[]
,,,,,,,
126,Line 17 - 27,0.7,0,0,0.6,0,[]
,,,,,,,
127,Line 16 - 17,0.7,0,0,0.6,0,[]
,,,,,,,
128,Line 15 - 16,0.7,0,0,0.6,0,[]
,,,,,,,
129,Line 14 - 15,0.7,0,0,0.6,0,[]
,,,,,,,
130,Line 04 - 14,0.7,0,0,0.6,0,[]
,,,,,,,
131,Line 03 - 04,0.7,0,0,0.6,0,[]
,,,,,,,
132,Line 02 - 03,0.7,0,0,0.6,0,[]
,,,,,,,
133,Line 01 - 39,0.7,0,0,0.6,0,[]
,,,,,,,
134,Line 09 - 39,0.7,0,0,0.6,0,[]
,,,,,,,
135,Line 05 - 08,0.7,0,0,0.6,0,[]
,,,,,,,
136,Line 05 - 06,0.7,0,0,0.6,0,[]
,,,,,,,
137,Line 04 - 05,0.7,0,0,0.8,0,[]
,,,,,,,
138,Line 06 - 07,0.7,0,0,0.8,0,[]
,,,,,,,
139,Line 06 - 11,0.7,0,0,0.8,0,[]
,,,,,,,
140,Line 10 - 11,0.7,0,0,0.8,0,[]
,,,,,,,
141,Line 10 - 13,0.7,0,0,0.8,0,[]
,,,,,,,
142,Line 13 - 14,0.7,0,0,0.8,0,[]
,,,,,,,
143,Line 16 - 19,0.7,0,0,0.8,1,"[('G 05', 'Over-Speed', '1.64'), ('Load 29A_UF', '33.60'), ('Load 28A_UF', '33.60'), ('Load 26A_UF', '33.60'), ('Load 25A_UF', '33.60'), ('Load 27A_UF', '33.60'), ('Load 23A_UF', '33.60'), ('Load 21A_UF', '33.61'), ('Load 18A_UF', '33.61'), ('Load 24A_UF', '33.61'), ('Load 16A_UF', '33.61'), ('Load 03A_UF', '33.61'), ('Load 15A_UF', '33.61'), ('Load 04A_UF', '33.61'), ('Load 12A_UF', '33.61'), ('Load 08A_UF', '33.61'), ('Load 07A_UF', '33.61')]"
,,,,,,,
144,Line 16 - 21,0.7,0,0,0.8,0,[]
,,,,,,,
145,Line 16 - 24,0.7,0,0,0.8,0,[]
,,,,,,,
146,Line 26 - 28,0.7,0,0,0.8,0,[]
,,,,,,,
147,Line 26 - 29,0.7,0,0,0.8,0,[]
,,,,,,,
148,Line 28 - 29,0.7,0,0,0.8,0,[]
,,,,,,,
149,Line 23 - 24,0.7,0,0,0.8,0,[]
,,,,,,,
150,Line 22 - 23,0.7,0,0,0.8,0,[]
,,,,,,,
151,Line 21 - 22,0.7,0,0,0.8,0,[]
,,,,,,,
152,Line 03 - 18,0.7,0,0,0.8,0,[]
,,,,,,,
153,Line 08 - 09,0.7,0,0,0.8,0,[]
,,,,,,,
154,Line 07 - 08,0.7,0,0,0.8,0,[]
,,,,,,,
155,Line 02 - 25,0.7,0,0,0.8,0,[]
,,,,,,,
156,Line 01 - 02,0.7,0,0,0.8,0,[]
,,,,,,,
157,Line 25 - 26,0.7,0,0,0.8,0,[]
,,,,,,,
158,Line 17 - 18,0.7,0,0,0.8,0,[]
,,,,,,,
159,Line 26 - 27,0.7,0,0,0.8,0,[]
,,,,,,,
160,Line 17 - 27,0.7,0,0,0.8,0,[]
,,,,,,,
161,Line 16 - 17,0.7,0,0,0.8,0,[]
,,,,,,,
162,Line 15 - 16,0.7,0,0,0.8,0,[]
,,,,,,,
163,Line 14 - 15,0.7,0,0,0.8,0,[]
,,,,,,,
164,Line 04 - 14,0.7,0,0,0.8,0,[]
,,,,,,,
165,Line 03 - 04,0.7,0,0,0.8,0,[]
,,,,,,,
166,Line 02 - 03,0.7,0,0,0.8,0,[]
,,,,,,,
167,Line 01 - 39,0.7,0,0,0.8,0,[]
,,,,,,,
168,Line 09 - 39,0.7,0,0,0.8,0,[]
,,,,,,,
169,Line 05 - 08,0.7,0,0,0.8,0,[]
,,,,,,,
170,Line 05 - 06,0.7,0,0,0.8,0,[]
,,,,,,,
171,Line 04 - 05,0.7,0,0,1,0,[]
,,,,,,,
172,Line 06 - 07,0.7,0,0,1,0,[]
,,,,,,,
173,Line 06 - 11,0.7,0,0,1,0,[]
,,,,,,,
174,Line 10 - 11,0.7,0,0,1,0,[]
,,,,,,,
175,Line 10 - 13,0.7,0,0,1,0,[]
,,,,,,,
176,Line 13 - 14,0.7,0,0,1,0,[]
,,,,,,,
177,Line 16 - 19,0.7,0,0,1,1,"[('G 05', 'Over-Speed', '1.66'), ('Load 23A_UF', '12.83'), ('Load 25A_UF', '12.83'), ('Load 21A_UF', '12.83'), ('Load 26A_UF', '12.84'), ('Load 28A_UF', '12.84'), ('Load 29A_UF', '12.84'), ('Load 27A_UF', '12.84'), ('Load 24A_UF', '12.84'), ('Load 16A_UF', '12.84'), ('Load 18A_UF', '12.84'), ('Load 03A_UF', '12.84'), ('Load 15A_UF', '12.84'), ('Load 04A_UF', '12.84'), ('Load 12A_UF', '12.85'), ('Load 07A_UF', '12.85'), ('Load 08A_UF', '12.85')]"
,,,,,,,
178,Line 16 - 21,0.7,0,0,1,0,[]
,,,,,,,
179,Line 16 - 24,0.7,0,0,1,0,[]
,,,,,,,
180,Line 26 - 28,0.7,0,0,1,0,[]
,,,,,,,
181,Line 26 - 29,0.7,0,0,1,0,[]
,,,,,,,
182,Line 28 - 29,0.7,0,0,1,0,[]
,,,,,,,
183,Line 23 - 24,0.7,0,0,1,0,[]
,,,,,,,
184,Line 22 - 23,0.7,0,0,1,0,[]
,,,,,,,
185,Line 21 - 22,0.7,0,0,1,0,[]
,,,,,,,
186,Line 03 - 18,0.7,0,0,1,0,[]
,,,,,,,
187,Line 08 - 09,0.7,0,0,1,0,[]
,,,,,,,
188,Line 07 - 08,0.7,0,0,1,0,[]
,,,,,,,
189,Line 02 - 25,0.7,0,0,1,0,[]
,,,,,,,
190,Line 01 - 02,0.7,0,0,1,0,[]
,,,,,,,
191,Line 25 - 26,0.7,0,0,1,0,[]
,,,,,,,
192,Line 17 - 18,0.7,0,0,1,0,[]
,,,,,,,
193,Line 26 - 27,0.7,0,0,1,0,[]
,,,,,,,
194,Line 17 - 27,0.7,0,0,1,0,[]
,,,,,,,
195,Line 16 - 17,0.7,0,0,1,0,[]
,,,,,,,
196,Line 15 - 16,0.7,0,0,1,0,[]
,,,,,,,
197,Line 14 - 15,0.7,0,0,1,0,[]
,,,,,,,
198,Line 04 - 14,0.7,0,0,1,0,[]
,,,,,,,
199,Line 03 - 04,0.7,0,0,1,0,[]
,,,,,,,
200,Line 02 - 03,0.7,0,0,1,0,[]
,,,,,,,
201,Line 01 - 39,0.7,0,0,1,0,[]
,,,,,,,
202,Line 09 - 39,0.7,0,0,1,0,[]
,,,,,,,
203,Line 05 - 08,0.7,0,0,1,0,[]
,,,,,,,
204,Line 05 - 06,0.7,0,0,1,0,[]
,,,,,,,
205,Line 04 - 05,0.7,0,0.2,0,0,[]
,,,,,,,
206,Line 06 - 07,0.7,0,0.2,0,0,[]
,,,,,,,
207,Line 06 - 11,0.7,0,0.2,0,0,[]
,,,,,,,
208,Line 10 - 11,0.7,0,0.2,0,0,[]
,,,,,,,
209,Line 10 - 13,0.7,0,0.2,0,0,[]
,,,,,,,
210,Line 13 - 14,0.7,0,0.2,0,0,[]
,,,,,,,
211,Line 16 - 19,0.7,0,0.2,0,1,"[('G 05', 'Over-Speed', '1.72')]"
,,,,,,,
212,Line 16 - 21,0.7,0,0.2,0,1,"[('NSG_2', 'OverVoltage', '2.12')]"
,,,,,,,
213,Line 16 - 24,0.7,0,0.2,0,1,"[('NSG_2', 'OverVoltage', '2.11')]"
,,,,,,,
214,Line 26 - 28,0.7,0,0.2,0,0,[]
,,,,,,,
215,Line 26 - 29,0.7,0,0.2,0,0,[]
,,,,,,,
216,Line 28 - 29,0.7,0,0.2,0,1,"[('NSG_2', 'OverVoltage', '2.22')]"
,,,,,,,
217,Line 23 - 24,0.7,0,0.2,0,0,[]
,,,,,,,
218,Line 22 - 23,0.7,0,0.2,0,0,[]
,,,,,,,
219,Line 21 - 22,0.7,0,0.2,0,0,[]
,,,,,,,
220,Line 03 - 18,0.7,0,0.2,0,0,[]
,,,,,,,
221,Line 08 - 09,0.7,0,0.2,0,0,[]
,,,,,,,
222,Line 07 - 08,0.7,0,0.2,0,0,[]
,,,,,,,
223,Line 02 - 25,0.7,0,0.2,0,1,"[('NSG_2', 'OverVoltage', '2.10')]"
,,,,,,,
224,Line 01 - 02,0.7,0,0.2,0,1,"[('NSG_2', 'OverVoltage', '2.54'), ('G 01', 'Under-Speed', '5.08')]"
,,,,,,,
225,Line 25 - 26,0.7,0,0.2,0,0,[]
,,,,,,,
226,Line 17 - 18,0.7,0,0.2,0,1,"[('NSG_2', 'OverVoltage', '2.07')]"
,,,,,,,
227,Line 26 - 27,0.7,0,0.2,0,0,[]
,,,,,,,
228,Line 17 - 27,0.7,0,0.2,0,0,[]
,,,,,,,
229,Line 16 - 17,0.7,0,0.2,0,1,"[('NSG_2', 'OverVoltage', '2.23')]"
,,,,,,,
230,Line 15 - 16,0.7,0,0.2,0,1,"[('NSG_2', 'OverVoltage', '2.03')]"
,,,,,,,
231,Line 14 - 15,0.7,0,0.2,0,0,[]
,,,,,,,
232,Line 04 - 14,0.7,0,0.2,0,0,[]
,,,,,,,
233,Line 03 - 04,0.7,0,0.2,0,0,[]
,,,,,,,
234,Line 02 - 03,0.7,0,0.2,0,0,[]
,,,,,,,
235,Line 01 - 39,0.7,0,0.2,0,1,"[('G 02', 'UV', '2.74'), ('G 03', 'UV', '2.91'), ('NSG_2', 'OverVoltage', '3.16'), ('G 01', 'Under-Speed', '5.56')]"
,,,,,,,
236,Line 09 - 39,0.7,0,0.2,0,0,[]
,,,,,,,
237,Line 05 - 08,0.7,0,0.2,0,0,[]
,,,,,,,
238,Line 05 - 06,0.7,0,0.2,0,0,[]
,,,,,,,
239,Line 04 - 05,0.7,0,0.2,0.2,0,[]
,,,,,,,
240,Line 06 - 07,0.7,0,0.2,0.2,0,[]
,,,,,,,
241,Line 06 - 11,0.7,0,0.2,0.2,0,[]
,,,,,,,
242,Line 10 - 11,0.7,0,0.2,0.2,0,[]
,,,,,,,
243,Line 10 - 13,0.7,0,0.2,0.2,0,[]
,,,,,,,
244,Line 13 - 14,0.7,0,0.2,0.2,0,[]
,,,,,,,
245,Line 16 - 19,0.7,0,0.2,0.2,1,"[('G 05', 'Over-Speed', '1.73'), ('Load 23A_UF', '9.53'), ('Load 21A_UF', '9.54'), ('Load 24A_UF', '9.55'), ('Load 16A_UF', '9.55'), ('Load 25A_UF', '9.55'), ('Load 15A_UF', '9.55'), ('Load 18A_UF', '9.55'), ('Load 27A_UF', '9.55'), ('Load 26A_UF', '9.55'), ('Load 03A_UF', '9.55'), ('Load 28A_UF', '9.55'), ('Load 29A_UF', '9.55')]"
,,,,,,,
246,Line 16 - 21,0.7,0,0.2,0.2,1,"[('NSG_2', 'OverVoltage', '2.09')]"
,,,,,,,
247,Line 16 - 24,0.7,0,0.2,0.2,1,"[('NSG_2', 'OverVoltage', '2.10')]"
,,,,,,,
248,Line 26 - 28,0.7,0,0.2,0.2,0,[]
,,,,,,,
249,Line 26 - 29,0.7,0,0.2,0.2,0,[]
,,,,,,,
250,Line 28 - 29,0.7,0,0.2,0.2,1,"[('NSG_2', 'OverVoltage', '2.22')]"
,,,,,,,
251,Line 23 - 24,0.7,0,0.2,0.2,0,[]
,,,,,,,
252,Line 22 - 23,0.7,0,0.2,0.2,0,[]
,,,,,,,
253,Line 21 - 22,0.7,0,0.2,0.2,0,[]
,,,,,,,
254,Line 03 - 18,0.7,0,0.2,0.2,1,"[('NSG_2', 'OverVoltage', '2.13')]"
,,,,,,,
255,Line 08 - 09,0.7,0,0.2,0.2,1,"[('NSG_2', 'OverVoltage', '2.63')]"
,,,,,,,
256,Line 07 - 08,0.7,0,0.2,0.2,0,[]
,,,,,,,
257,Line 02 - 25,0.7,0,0.2,0.2,1,"[('NSG_2', 'OverVoltage', '2.11')]"
,,,,,,,
258,Line 01 - 02,0.7,0,0.2,0.2,1,"[('NSG_2', 'OverVoltage', '2.68'), ('NSG_3', 'OverVoltage(1)', '2.77'), ('G 01', 'Under-Speed', '5.30')]"
,,,,,,,
259,Line 25 - 26,0.7,0,0.2,0.2,0,[]
,,,,,,,
260,Line 17 - 18,0.7,0,0.2,0.2,1,"[('NSG_2', 'OverVoltage', '2.06')]"
,,,,,,,
261,Line 26 - 27,0.7,0,0.2,0.2,0,[]
,,,,,,,
262,Line 17 - 27,0.7,0,0.2,0.2,0,[]
,,,,,,,
263,Line 16 - 17,0.7,0,0.2,0.2,1,"[('NSG_2', 'OverVoltage', '2.21')]"
,,,,,,,
264,Line 15 - 16,0.7,0,0.2,0.2,1,"[('NSG_2', 'OverVoltage', '2.01')]"
,,,,,,,
265,Line 14 - 15,0.7,0,0.2,0.2,0,[]
,,,,,,,
266,Line 04 - 14,0.7,0,0.2,0.2,0,[]
,,,,,,,
267,Line 03 - 04,0.7,0,0.2,0.2,0,[]
,,,,,,,
268,Line 02 - 03,0.7,0,0.2,0.2,0,[]
,,,,,,,
269,Line 01 - 39,0.7,0,0.2,0.2,1,"[('NSG_2', 'OverVoltage', '3.04'), ('NSG_3', 'OverVoltage(1)', '3.42'), ('G 01', 'Under-Speed', '8.39')]"
,,,,,,,
270,Line 09 - 39,0.7,0,0.2,0.2,0,[]
,,,,,,,
271,Line 05 - 08,0.7,0,0.2,0.2,0,[]
,,,,,,,
272,Line 05 - 06,0.7,0,0.2,0.2,0,[]
,,,,,,,
273,Line 04 - 05,0.7,0,0.2,0.4,3,Error
,,,,,,,
274,Line 06 - 07,0.7,0,0.2,0.4,0,[]
,,,,,,,
275,Line 06 - 11,0.7,0,0.2,0.4,0,[]
,,,,,,,
276,Line 10 - 11,0.7,0,0.2,0.4,0,[]
,,,,,,,
277,Line 10 - 13,0.7,0,0.2,0.4,0,[]
,,,,,,,
278,Line 13 - 14,0.7,0,0.2,0.4,0,[]
,,,,,,,
279,Line 16 - 19,0.7,0,0.2,0.4,1,"[('G 05', 'Over-Speed', '1.64'), ('Load 29A_UF', '13.45'), ('Load 28A_UF', '13.46'), ('Load 26A_UF', '13.46'), ('Load 25A_UF', '13.46'), ('Load 27A_UF', '13.47'), ('Load 03A_UF', '13.47'), ('Load 18A_UF', '13.47'), ('Load 16A_UF', '13.47'), ('Load 24A_UF', '13.47'), ('Load 23A_UF', '13.47'), ('Load 21A_UF', '13.47'), ('Load 15A_UF', '13.47')]"
,,,,,,,
280,Line 16 - 21,0.7,0,0.2,0.4,1,"[('NSG_2', 'OverVoltage', '2.16')]"
,,,,,,,
281,Line 16 - 24,0.7,0,0.2,0.4,0,[]
,,,,,,,
282,Line 26 - 28,0.7,0,0.2,0.4,0,[]
,,,,,,,
283,Line 26 - 29,0.7,0,0.2,0.4,0,[]
,,,,,,,
284,Line 28 - 29,0.7,0,0.2,0.4,1,"[('NSG_2', 'OverVoltage', '2.27')]"
,,,,,,,
285,Line 23 - 24,0.7,0,0.2,0.4,0,[]
,,,,,,,
286,Line 22 - 23,0.7,0,0.2,0.4,0,[]
,,,,,,,
287,Line 21 - 22,0.7,0,0.2,0.4,0,[]
,,,,,,,
288,Line 03 - 18,0.7,0,0.2,0.4,0,[]
,,,,,,,
289,Line 08 - 09,0.7,0,0.2,0.4,1,"[('NSG_2', 'OverVoltage', '2.67')]"
,,,,,,,
290,Line 07 - 08,0.7,0,0.2,0.4,3,Error
,,,,,,,
291,Line 02 - 25,0.7,0,0.2,0.4,1,"[('NSG_2', 'OverVoltage', '2.12')]"
,,,,,,,
292,Line 01 - 02,0.7,0,0.2,0.4,1,"[('NSG_2', 'OverVoltage', '2.95')]"
,,,,,,,
293,Line 25 - 26,0.7,0,0.2,0.4,0,[]
,,,,,,,
294,Line 17 - 18,0.7,0,0.2,0.4,1,"[('NSG_2', 'OverVoltage', '2.07')]"
,,,,,,,
295,Line 26 - 27,0.7,0,0.2,0.4,0,[]
,,,,,,,
296,Line 17 - 27,0.7,0,0.2,0.4,0,[]
,,,,,,,
297,Line 16 - 17,0.7,0,0.2,0.4,1,"[('NSG_2', 'OverVoltage', '2.23')]"
,,,,,,,
298,Line 15 - 16,0.7,0,0.2,0.4,1,"[('NSG_2', 'OverVoltage', '1.99')]"
,,,,,,,
299,Line 14 - 15,0.7,0,0.2,0.4,0,[]
,,,,,,,
300,Line 04 - 14,0.7,0,0.2,0.4,0,[]
,,,,,,,
301,Line 03 - 04,0.7,0,0.2,0.4,0,[]
,,,,,,,
302,Line 02 - 03,0.7,0,0.2,0.4,0,[]
,,,,,,,
303,Line 01 - 39,0.7,0,0.2,0.4,1,"[('NSG_2', 'OverVoltage', '2.88')]"
,,,,,,,
304,Line 09 - 39,0.7,0,0.2,0.4,0,[]
,,,,,,,
305,Line 05 - 08,0.7,0,0.2,0.4,0,[]
,,,,,,,
306,Line 05 - 06,0.7,0,0.2,0.4,0,[]
,,,,,,,
307,Line 04 - 05,0.7,0,0.2,0.6,0,[]
,,,,,,,
308,Line 06 - 07,0.7,0,0.2,0.6,0,[]
,,,,,,,
309,Line 06 - 11,0.7,0,0.2,0.6,0,[]
,,,,,,,
310,Line 10 - 11,0.7,0,0.2,0.6,0,[]
,,,,,,,
311,Line 10 - 13,0.7,0,0.2,0.6,0,[]
,,,,,,,
312,Line 13 - 14,0.7,0,0.2,0.6,0,[]
,,,,,,,
